artifact,path,size_bytes,sha256
completion,/net/scratch/j96317yn/NotebookCT3/outputs/12_v11_gain_stability_audit/iteration_1/audit_complete.json,708,8e83e59552f1c6c0ec0ab5e1e89107f5fc106f8f9169bcba47bb9531ff092e17
selected_gain,/net/scratch/j96317yn/NotebookCT3/outputs/12_v11_gain_stability_audit/iteration_1/selected_gain.json,278,fdcf185a05b12212c3b1921ea392919bb0d6e8721dfcb437ed485a3a452c575a
selected_formula,/net/scratch/j96317yn/NotebookCT3/outputs/12_v11_gain_stability_audit/iteration_1/selected_gain_formula.csv,5570,1c254625ab6818c8f55c4f2edaf0717e6a26b89744d97422308fc26252a6d6cb
parent_signature,/net/scratch/j96317yn/NotebookCT3/outputs/12_v11_gain_stability_audit/iteration_1/audit_signature.json,2328,c0ce9ae6a5544e0d0d7548843d55c1894705046adefc1587a8e13fd0354c465b
manifest,/net/scratch/j96317yn/NotebookCT3/shared/frozen_case_split_manifest_199cases.csv,25685,8fa7fe2818b2d3bf69f47f5d214d033d84439bf22a7b789e205ce6c45b852d2b
similarity_map,/net/scratch/j96317yn/NotebookCT3/shared/frozen_similarity_group_map_199cases.csv,4408,2a3a8925ad9a6f6a0d107d974552e781f493e13b51dc956f2d635b75013a9119
development_summary,/net/scratch/j96317yn/NotebookCT3/outputs/00_qc_sensitivity_ablation/development_case_summary.csv,132523,c0004723a438ee2bd7d5eb03123caae2640a9f51f45d277e5e96b7294ca0899c
v12_source,/net/scratch/j96317yn/NotebookCT3/src/v12_case_adaptive_tail_gain.py,59803,f00b678f493fadafb80c72a6fec0feb3b9680a13ef8dfd6c46cad9d880f4b7ca
