iteration,split,case_p95_spearman,case_p95_std_ratio,case_p95_mean_bias,case_p99_spearman,case_p99_std_ratio,case_p99_mean_bias
1,internal_test,0.9678571428571429,0.8802968841907782,-1.343237135456384,0.7678571428571428,0.8616800416830704,-3.5940219812840772
1,validation,0.8428571428571429,0.7225003040651823,-1.0936434012258163,0.825,0.661623816338624,-3.088852677798473
