stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode,completed_segment,completed_attempt,frontier_source,source_candidate_index
shape,recoverable_i1_single_shape,20,13,0.6937517,0.014496328826276,((theta_cos_scaled + -1.9003185) * ((0.39010203 - theta_cos_scaled) - square(rho_within_case_z_scaled))) * -0.14201234,(theta_cos_scaled - 1.9003185)*(-rho_within_case_z_scaled**2 - theta_cos_scaled + 0.39010203)*(-0.14201234),-0.156664937303873*(15.4180386938948*theta_cos - 16.126018886464)*(-15.4180386938948*theta_cos - 0.786512529171612*(rho_within_case_z + 0.260189976115635)**2 + 14.615802416464) + 0.285739561816426,"[""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('theta_cos_scaled')), CONST), Add(Mul(CONST, Pow(Symbol('rho_within_case_z_scaled'), Integer(2))), Mul(CONST, Symbol('theta_cos_scaled')), CONST))","{""features"": [""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow""]}",20.0,1.0,warm_start_checkpoint,20.0,1.0,new_recoverable_16000_search,9
shape,hierarchical_i1_shape_20260817_061209,21,12,0.6946434,,((rho_scaled * 0.51492065) - abs(rho_scaled - -0.7519853)) - -1.0582215,0.51492065*rho_scaled - Abs(rho_scaled + 0.7519853) + 1.0582215,0.0289484601266291*rho - 1.10317833861391*Abs(0.0509611749551904*rho - 8.57042935638866) - 3.84244458878086,"[""rho_scaled""]","Mul(Integer(-1), CONST, Add(Mul(Integer(-1), CONST, Symbol('rho_scaled')), Mul(CONST, Abs(Add(Symbol('rho_scaled'), CONST))), CONST))","{""features"": [""rho_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",,,,,,version_06_partial_search,8
shape,recoverable_i1_single_shape,22,12,0.7038818,0.0041164413379694,(0.30413145 - rho_scaled) * ((abs(rho_scaled) + -1.5044442) * -0.71074325),(0.30413145 - rho_scaled)*(Abs(rho_scaled) - 1.5044442)*(-0.71074325),-0.784076557716048*(9.62654610638866 - 0.0509611749551904*rho)*(Abs(0.0509611749551904*rho - 9.32241465638866) - 1.5044442) + 0.285739561816426,"[""rho_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('rho_scaled')), CONST), Add(Mul(CONST, Abs(Symbol('rho_scaled'))), CONST))","{""features"": [""rho_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",20.0,1.0,warm_start_checkpoint,20.0,1.0,new_recoverable_16000_search,8
shape,recoverable_i1_single_shape,23,11,0.70678526,0.0122253790377834,((theta_sin_scaled * theta_cos_scaled) - (rho_within_case_z_scaled * (fluence_rate_scaled * 1.4018984))) * -0.24956396,(-1.4018984*fluence_rate_scaled*rho_within_case_z_scaled + theta_cos_scaled*theta_sin_scaled)*(-0.24956396),0.385961631931367*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.886855416159597*rho_within_case_z + 0.230750889548587) - 0.275313554770707*(15.4180386938948*theta_cos - 14.225700386464)*(6.30045063652412*theta_sin - 2.1760652501445) + 0.285739561816426,"[""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled"", ""theta_sin_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('fluence_rate_scaled'), Symbol('rho_within_case_z_scaled')), Mul(Integer(-1), CONST, Symbol('theta_cos_scaled'), Symbol('theta_sin_scaled'))))","{""features"": [""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled"", ""theta_sin_scaled""], ""operators"": [""Add"", ""Mul""]}",20.0,1.0,warm_start_checkpoint,20.0,1.0,new_recoverable_16000_search,7
shape,hierarchical_i1_shape_20260817_061209,24,11,0.7166921,,(square(rho_within_case_z_scaled) - square(theta_sin_scaled + 0.21392787)) * -0.29823056,-0.29823056*rho_within_case_z_scaled**2 + 0.29823056*(theta_sin_scaled + 0.21392787)**2,-0.258763796914918*(rho_within_case_z + 0.260189976115635)**2 + 13.0599374290791*(theta_sin - 0.311428101471007)**2 + 0.285739561816426,"[""rho_within_case_z_scaled"", ""theta_sin_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Pow(Symbol('rho_within_case_z_scaled'), Integer(2))), Mul(Integer(-1), CONST, Pow(Symbol('theta_sin_scaled'), Integer(2))), Mul(Integer(-1), CONST, Symbol('theta_sin_scaled')), CONST))","{""features"": [""rho_within_case_z_scaled"", ""theta_sin_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow""]}",,,,,,version_06_partial_search,7
shape,recoverable_i1_single_shape,25,9,0.7242797,0.0645275015080339,((theta_sin_scaled * theta_cos_scaled) - (rho_within_case_z_scaled * fluence_rate_scaled)) * -0.29746953,(-fluence_rate_scaled*rho_within_case_z_scaled + theta_cos_scaled*theta_sin_scaled)*(-0.29746953),0.328161941893659*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.886855416159597*rho_within_case_z + 0.230750889548587) - 0.328161941893659*(15.4180386938948*theta_cos - 14.225700386464)*(6.30045063652412*theta_sin - 2.1760652501445) + 0.285739561816426,"[""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled"", ""theta_sin_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('fluence_rate_scaled'), Symbol('rho_within_case_z_scaled')), Mul(Integer(-1), CONST, Symbol('theta_cos_scaled'), Symbol('theta_sin_scaled'))))","{""features"": [""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled"", ""theta_sin_scaled""], ""operators"": [""Add"", ""Mul""]}",20.0,1.0,warm_start_checkpoint,20.0,1.0,new_recoverable_16000_search,6
shape,hierarchical_i1_shape_20260817_061209,26,9,0.73315984,,(square(rho_within_case_z_scaled) - square(theta_sin_scaled)) * -0.3027186,-0.3027186*rho_within_case_z_scaled**2 + 0.3027186*theta_sin_scaled**2,-0.262657905791976*(rho_within_case_z + 0.260189976115635)**2 + 13.2564750393737*(theta_sin - 0.345382477489739)**2 + 0.285739561816426,"[""rho_within_case_z_scaled"", ""theta_sin_scaled""]","Mul(Integer(-1), CONST, Add(Symbol('rho_within_case_z_scaled'), Mul(Integer(-1), Symbol('theta_sin_scaled'))), Add(Symbol('rho_within_case_z_scaled'), Symbol('theta_sin_scaled')))","{""features"": [""rho_within_case_z_scaled"", ""theta_sin_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow""]}",,,,,,version_06_partial_search,6
shape,recoverable_i1_single_shape,27,8,0.7725565,0.0287388006913984,rho_scaled * (abs(rho_scaled) + -1.5422542),rho_scaled*(Abs(rho_scaled) - 1.5422542),1.10317833861391*(0.0509611749551904*rho - 9.32241465638866)*(Abs(0.0509611749551904*rho - 9.32241465638866) - 1.5422542) + 0.285739561816426,"[""rho_scaled""]","Mul(CONST, Symbol('rho_scaled'), Add(Mul(CONST, Abs(Symbol('rho_scaled'))), CONST))","{""features"": [""rho_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",20.0,1.0,warm_start_checkpoint,20.0,1.0,new_recoverable_16000_search,5
shape,hierarchical_i1_shape_20260817_061209,28,8,0.7725567,,rho_scaled * (abs(rho_scaled) - 1.542943),rho_scaled*(Abs(rho_scaled) - 1.542943),1.10317833861391*(0.0509611749551904*rho - 9.32241465638866)*(Abs(0.0509611749551904*rho - 9.32241465638866) - 1.542943) + 0.285739561816426,"[""rho_scaled""]","Mul(CONST, Symbol('rho_scaled'), Add(Mul(CONST, Abs(Symbol('rho_scaled'))), CONST))","{""features"": [""rho_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",,,,,,version_06_partial_search,5
shape,hierarchical_i1_shape_20260817_061209,29,7,0.79327357,,((fluence_rate_within_case_z_scaled * fluence_rate_scaled) + theta_cos_scaled) * -0.24032879,-0.24032879*fluence_rate_scaled*fluence_rate_within_case_z_scaled - 0.24032879*theta_cos_scaled,-4.08771545322238*theta_cos - 0.26512551527329*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.842000479209394*fluence_rate_within_case_z - 0.19525739300491) + 4.05733570690113,"[""fluence_rate_scaled"", ""fluence_rate_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(Integer(-1), CONST, Add(Mul(Symbol('fluence_rate_scaled'), Symbol('fluence_rate_within_case_z_scaled')), Symbol('theta_cos_scaled')))","{""features"": [""fluence_rate_scaled"", ""fluence_rate_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul""]}",,,,,,version_06_partial_search,4
shape,recoverable_i1_single_shape,30,7,0.79508096,0.0245952482301721,(theta_cos_scaled - (rho_within_case_z_scaled * fluence_rate_scaled)) * -0.2516801,(-fluence_rate_scaled*rho_within_case_z_scaled + theta_cos_scaled)*(-0.2516801),-4.28078814044108*theta_cos + 0.277648034580182*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.886855416159597*rho_within_case_z + 0.230750889548587) + 4.23547731464467,"[""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('fluence_rate_scaled'), Symbol('rho_within_case_z_scaled')), Mul(Integer(-1), CONST, Symbol('theta_cos_scaled'))))","{""features"": [""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul""]}",20.0,1.0,warm_start_checkpoint,20.0,1.0,new_recoverable_16000_search,4
shape,recoverable_i1_single_shape,31,6,0.81487864,0.0363947065549652,0.7802671 - abs(fluence_rate_scaled),0.7802671 - Abs(fluence_rate_scaled),1.14651332486952 - 1.10317833861391*Abs(1.88569304205524*fluence_rate - 6.93049292450245),"[""fluence_rate_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Abs(Symbol('fluence_rate_scaled'))), CONST))","{""features"": [""fluence_rate_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",20.0,1.0,warm_start_checkpoint,20.0,1.0,new_recoverable_16000_search,3
shape,hierarchical_i1_shape_20260817_061209,32,6,0.81487864,,0.78019017 - abs(fluence_rate_scaled),0.78019017 - Abs(fluence_rate_scaled),1.14642845735993 - 1.10317833861391*Abs(1.88569304205524*fluence_rate - 6.93049292450245),"[""fluence_rate_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Abs(Symbol('fluence_rate_scaled'))), CONST))","{""features"": [""fluence_rate_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",,,,,,version_06_partial_search,3
shape,recoverable_i1_single_shape,33,5,0.8450822,0.042521295055664,fluence_rate_scaled * (fluence_rate_within_case_z_scaled * -0.23631586),fluence_rate_scaled*fluence_rate_within_case_z_scaled*(-0.23631586),-0.260698537822916*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.842000479209394*fluence_rate_within_case_z - 0.19525739300491) + 0.285739561816426,"[""fluence_rate_scaled"", ""fluence_rate_within_case_z_scaled""]","Mul(Integer(-1), CONST, Symbol('fluence_rate_scaled'), Symbol('fluence_rate_within_case_z_scaled'))","{""features"": [""fluence_rate_scaled"", ""fluence_rate_within_case_z_scaled""], ""operators"": [""Mul""]}",20.0,1.0,warm_start_checkpoint,20.0,1.0,new_recoverable_16000_search,2
shape,hierarchical_i1_shape_20260817_061209,34,5,0.8450822,,fluence_rate_scaled * (fluence_rate_within_case_z_scaled * -0.23626693),-0.23626693*fluence_rate_scaled*fluence_rate_within_case_z_scaled,-0.260644559306808*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.842000479209394*fluence_rate_within_case_z - 0.19525739300491) + 0.285739561816426,"[""fluence_rate_scaled"", ""fluence_rate_within_case_z_scaled""]","Mul(Integer(-1), CONST, Symbol('fluence_rate_scaled'), Symbol('fluence_rate_within_case_z_scaled'))","{""features"": [""fluence_rate_scaled"", ""fluence_rate_within_case_z_scaled""], ""operators"": [""Mul""]}",,,,,,version_06_partial_search,2
shape,recoverable_i1_single_shape,35,3,0.9200946,0.0416393440691646,weight_loss_rate_within_case_z_scaled * -0.28246352,weight_loss_rate_within_case_z_scaled*(-0.28246352),0.338682388136667 - 0.263778515239209*weight_loss_rate_within_case_z,"[""weight_loss_rate_within_case_z_scaled""]","Mul(Integer(-1), CONST, Symbol('weight_loss_rate_within_case_z_scaled'))","{""features"": [""weight_loss_rate_within_case_z_scaled""], ""operators"": [""Mul""]}",20.0,1.0,warm_start_checkpoint,20.0,1.0,new_recoverable_16000_search,1
shape,hierarchical_i1_shape_20260817_061209,36,3,0.9200946,,weight_loss_rate_within_case_z_scaled * -0.28274795,-0.28274795*weight_loss_rate_within_case_z_scaled,0.338735699545129 - 0.264044130151498*weight_loss_rate_within_case_z,"[""weight_loss_rate_within_case_z_scaled""]","Mul(Integer(-1), CONST, Symbol('weight_loss_rate_within_case_z_scaled'))","{""features"": [""weight_loss_rate_within_case_z_scaled""], ""operators"": [""Mul""]}",,,,,,version_06_partial_search,1
shape,recoverable_i1_single_shape,37,1,0.9999999,0.0,3.2088807e-5,3.20888070000000e-5,0.285774961493221,[],CONST,"{""features"": [], ""operators"": []}",20.0,1.0,warm_start_checkpoint,20.0,1.0,new_recoverable_16000_search,0
shape,hierarchical_i1_shape_20260817_061209,38,1,0.9999999,,-6.0794914e-6,-6.07949140000000e-6,0.285732855053204,[],CONST,"{""features"": [], ""operators"": []}",,,,,,version_06_partial_search,0
