split,comparison,selected_model,reference_model,metric,direction,n_paired_cases,mean_delta_selected_minus_reference,median_delta_selected_minus_reference,bootstrap_95ci_low,bootstrap_95ci_high,wilcoxon_statistic,wilcoxon_two_sided_p,descriptive_only
validation,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,rmse,lower_is_better,15,-0.02215105635238923,-0.010821433675142211,-0.04431981932678247,-0.0011107166147400897,30.0,0.0946044921875,True
validation,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,top5_actual_rmse,lower_is_better,15,0.39915220604754703,0.37688574990784085,0.3573793079909791,0.43681123808892613,0.0,6.103515625e-05,True
validation,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,p95_relative_error,lower_is_better,15,0.02807312062642603,0.04349963293259363,0.0038906751868368326,0.048865076803226465,30.0,0.0946044921875,True
validation,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,p99_relative_error,lower_is_better,15,0.04017258134230423,0.04006140285413434,0.03879983149422111,0.041497832263285045,0.0,6.103515625e-05,True
validation,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,p99_underprediction_fraction,lower_is_better,15,0.04017258134230423,0.04006140285413434,0.03879735527793604,0.04152124081011858,0.0,6.103515625e-05,True
validation,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,top1pct_hotspot_overlap,higher_is_better,15,0.0,0.0,0.0,0.0,0.0,1.0,True
validation,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,top1_recall_in_predicted_top5,higher_is_better,15,0.0,0.0,0.0,0.0,0.0,1.0,True
validation,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,prediction_abs_max_ratio,closer_to_one_is_better,15,-0.018348139037432546,-0.018027438253031436,-0.01924871589082432,-0.017540188088892565,0.0,6.103515625e-05,True
validation,selected_vs_current_v11,v11_selected_gain_0.85,v11_current_gain_1_00,rmse,lower_is_better,15,-1.4802973661668754e-17,0.0,-4.4408920985006264e-17,0.0,0.0,1.0,True
validation,selected_vs_current_v11,v11_selected_gain_0.85,v11_current_gain_1_00,top5_actual_rmse,lower_is_better,15,0.0,0.0,0.0,0.0,0.0,1.0,True
validation,selected_vs_current_v11,v11_selected_gain_0.85,v11_current_gain_1_00,p95_relative_error,lower_is_better,15,-1.1102230246251566e-17,0.0,-3.3306690738754695e-17,0.0,0.0,1.0,True
validation,selected_vs_current_v11,v11_selected_gain_0.85,v11_current_gain_1_00,p99_relative_error,lower_is_better,15,7.401486830834377e-18,0.0,0.0,2.2204460492503132e-17,0.0,1.0,True
validation,selected_vs_current_v11,v11_selected_gain_0.85,v11_current_gain_1_00,p99_underprediction_fraction,lower_is_better,15,7.401486830834377e-18,0.0,0.0,2.2204460492503132e-17,0.0,1.0,True
validation,selected_vs_current_v11,v11_selected_gain_0.85,v11_current_gain_1_00,top1pct_hotspot_overlap,higher_is_better,15,0.0,0.0,0.0,0.0,0.0,1.0,True
validation,selected_vs_current_v11,v11_selected_gain_0.85,v11_current_gain_1_00,top1_recall_in_predicted_top5,higher_is_better,15,0.0,0.0,0.0,0.0,0.0,1.0,True
validation,selected_vs_current_v11,v11_selected_gain_0.85,v11_current_gain_1_00,prediction_abs_max_ratio,closer_to_one_is_better,15,0.0,0.0,0.0,0.0,0.0,1.0,True
internal_test,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,rmse,lower_is_better,15,-0.0273675918904988,-0.010239387852211346,-0.05920287887628872,0.0033936654698404397,37.0,0.207763671875,True
internal_test,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,top5_actual_rmse,lower_is_better,15,0.3802565049973399,0.3659597427240411,0.36386216830285073,0.39873178471372184,0.0,6.103515625e-05,True
internal_test,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,p95_relative_error,lower_is_better,15,0.03179426215689227,0.04118564330328521,0.011267116493777485,0.04983108595401097,19.0,0.01806640625,True
internal_test,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,p99_relative_error,lower_is_better,15,0.04406102062454966,0.04413815785802244,0.040857190995806175,0.047488369445094505,0.0,6.103515625e-05,True
internal_test,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,p99_underprediction_fraction,lower_is_better,15,0.04406102062454966,0.04413815785802244,0.040862239217692706,0.04738518496870727,0.0,6.103515625e-05,True
internal_test,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,top1pct_hotspot_overlap,higher_is_better,15,0.0,0.0,0.0,0.0,0.0,1.0,True
internal_test,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,top1_recall_in_predicted_top5,higher_is_better,15,0.0,0.0,0.0,0.0,0.0,1.0,True
internal_test,selected_vs_v10,v11_selected_gain_0.85,v10_signed_staged_symbolic,prediction_abs_max_ratio,closer_to_one_is_better,15,-0.020504605076783512,-0.019146851700032275,-0.022875114155145204,-0.01852418560738919,0.0,6.103515625e-05,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.85,v11_current_gain_1_00,rmse,lower_is_better,15,0.0,0.0,0.0,0.0,0.0,1.0,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.85,v11_current_gain_1_00,top5_actual_rmse,lower_is_better,15,1.1842378929335003e-16,0.0,0.0,2.9605947323337506e-16,0.0,1.0,True
