split,case_id,metric,recomputed_lambda_1,frozen_parent_v11,absolute_difference,tolerance,pass
internal_test,case_118,rmse,2.227439362539246,2.227439362539246,0.0,2.227439362539246e-06,True
internal_test,case_118,r2,0.43557680200333737,0.4355768020033372,1.6653345369377348e-16,1e-06,True
internal_test,case_118,predicted_mean,3.641861803862738,3.641861803862738,0.0,3.641861803862738e-06,True
internal_test,case_118,predicted_p95,9.160956803499428,9.160956803499426,1.7763568394002505e-15,9.160956803499425e-06,True
internal_test,case_118,predicted_p99,14.22118803258324,14.22118803258324,0.0,1.422118803258324e-05,True
internal_test,case_118,predicted_max,30.4916467571547,30.4916467571547,0.0,3.04916467571547e-05,True
internal_test,case_118,p95_relative_error,0.05833094933966093,0.0583309493396611,1.6653345369377348e-16,1e-06,True
internal_test,case_118,p99_relative_error,0.07535260456125062,0.0753526045612507,8.326672684688674e-17,1e-06,True
internal_test,case_118,p99_underprediction_fraction,0.07535260456125062,0.0753526045612507,8.326672684688674e-17,1e-06,True
internal_test,case_118,prediction_abs_max_ratio,1.114129255726346,1.114129255726346,0.0,1.114129255726346e-06,True
internal_test,case_118,top5pct_hotspot_overlap,0.6399240683384954,0.6399240683384954,0.0,1e-06,True
internal_test,case_118,top1pct_hotspot_overlap,0.5347152847152847,0.5347152847152847,0.0,1e-06,True
internal_test,case_118,top1_recall_in_predicted_top5,0.9308191808191808,0.9308191808191808,0.0,1e-06,True
internal_test,case_124,rmse,1.6266258052830704,1.6266258052830709,4.440892098500626e-16,1.6266258052830707e-06,True
internal_test,case_124,r2,0.6191178364548855,0.6191178364548853,2.220446049250313e-16,1e-06,True
internal_test,case_124,predicted_mean,4.4720030194966895,4.472003019496689,8.881784197001252e-16,4.472003019496689e-06,True
internal_test,case_124,predicted_p95,7.893891749326456,7.893891749326455,8.881784197001252e-16,7.893891749326455e-06,True
internal_test,case_124,predicted_p99,10.148010709486192,10.148010709486192,0.0,1.0148010709486192e-05,True
internal_test,case_124,predicted_max,21.125778875963825,21.125778875963825,0.0,2.1125778875963825e-05,True
internal_test,case_124,p95_relative_error,0.05199450709556981,0.0519945070955699,9.020562075079397e-17,1e-06,True
