split,model,reporting_role,case_p95_spearman,case_p95_std_ratio,case_p95_mean_bias,case_p99_spearman,case_p99_std_ratio,case_p99_mean_bias
internal_test,v10_signed_staged_symbolic,parent_reference,0.9714285714285713,1.0649607237471563,0.13792709861368296,0.9714285714285713,1.060795681667165,-2.142448618085295
internal_test,v11_current_gain_1_00,current_v11,0.9749999999999999,0.9940511502003706,-0.4268290331686299,0.9785714285714284,1.0043383936816446,-2.7072047498676084
internal_test,v11_mean_calibrated_v10,mean_calibration_only,0.9749999999999999,0.9940511502003706,-0.4268290331686306,0.9785714285714284,1.0043383936816446,-2.7072047498676084
internal_test,v11_selected_gain_0.85,validation_selected,0.9749999999999999,0.9940511502003704,-0.4268290331686301,0.9785714285714284,1.0043383936816446,-2.7072047498676084
validation,v10_signed_staged_symbolic,parent_reference,0.9857142857142854,0.9572582086927326,0.17315005373129455,0.9464285714285712,0.7522996989061826,-2.6400640328871274
validation,v11_current_gain_1_00,current_v11,0.9749999999999999,0.894806530539685,-0.3938345757602262,0.932142857142857,0.7134645503465018,-3.2070486623786496
validation,v11_mean_calibrated_v10,mean_calibration_only,0.9749999999999999,0.8948065305396855,-0.39383457576022646,0.932142857142857,0.7134645503465019,-3.2070486623786496
validation,v11_selected_gain_0.85,validation_selected,0.9749999999999999,0.8948065305396852,-0.39383457576022624,0.932142857142857,0.7134645503465019,-3.2070486623786496
