stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode,completed_segment,completed_attempt
v10_geometry_residual,v10_i2_geometry_signed_residual_pilot,0,1,0.3929278624462278,0.0,-0.03313675791051974,-0.03313675791051974,0.1731169489417124,[],CONST,"{""features"": [], ""operators"": []}",3,1,warm_start_checkpoint,3,1
v10_geometry_residual,v10_i2_geometry_signed_residual_pilot,1,3,0.3783262496399456,0.0189345606254224,z_scaled * 0.2059887812252211,z_scaled*0.2059887812252211,0.0006022811078880085*z - 0.08565929888091808,"[""z_scaled""]","Mul(CONST, Symbol('z_scaled'))","{""features"": [""z_scaled""], ""operators"": [""Mul""]}",3,1,warm_start_checkpoint,3,1
v10_geometry_residual,v10_i2_geometry_signed_residual_pilot,2,5,0.3606203362705668,0.0239656064133513,(nearest_axial_boundary_fraction_proxy_scaled * 0.3010056444096835) * rho_scaled,nearest_axial_boundary_fraction_proxy_scaled*0.3010056444096835*rho_scaled,0.2372765236737899*(6.35044600645681*nearest_axial_boundary_fraction_proxy - 1.50179462432499)*(0.05180987185222*rho - 9.47952660018825) + 0.199237969822393,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""rho_scaled""]","Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('rho_scaled'))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""rho_scaled""], ""operators"": [""Mul""]}",3,1,warm_start_checkpoint,3,1
v10_geometry_residual,v10_i2_geometry_signed_residual_pilot,3,7,0.3590695246676051,0.0021548365308973,(nearest_axial_boundary_fraction_proxy_scaled * (rho_fraction_proxy_scaled * 0.30634536773673277)) - 0.06433650916309581,nearest_axial_boundary_fraction_proxy_scaled*rho_fraction_proxy_scaled*0.30634536773673277 - 1*0.06433650916309581,0.24148571712897199*(6.35044600645681*nearest_axial_boundary_fraction_proxy - 1.50179462432499)*(4.82442568168163*rho_fraction_proxy - 2.7416998560394) + 0.1485228303456425,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""rho_fraction_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('rho_fraction_proxy_scaled')), CONST))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""rho_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",3,1,warm_start_checkpoint,3,1
v10_geometry_residual,v10_i2_geometry_signed_residual_pilot,4,9,0.355017706968563,0.0056741823743847,((rho_fraction_proxy_scaled * (z_fraction_proxy_scaled * z_fraction_proxy_scaled)) - rho_scaled) * -0.37532906859547843,(rho_fraction_proxy_scaled*z_fraction_proxy_scaled*z_fraction_proxy_scaled - rho_scaled)*(-0.37532906859547843),0.015328683267132045*rho - 0.29586414169976796*(4.82442568168163*rho_fraction_proxy - 2.7416998560394)*(3.27700476145386*z_fraction_proxy - 1.74794266617586)**2 - 2.6054140314624222,"[""rho_fraction_proxy_scaled"", ""rho_scaled"", ""z_fraction_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('rho_fraction_proxy_scaled'), Pow(Symbol('z_fraction_proxy_scaled'), Integer(2))), Mul(Integer(-1), CONST, Symbol('rho_scaled'))))","{""features"": [""rho_fraction_proxy_scaled"", ""rho_scaled"", ""z_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",3,1,warm_start_checkpoint,3,1
v10_geometry_residual,v10_i2_geometry_signed_residual_pilot,5,10,0.3512020953254783,0.0108058390843115,(((-0.46366469652473385 + radial_axial_signed_interaction_proxy_scaled) * z_fraction_proxy_scaled) - rho_scaled) * -0.3970751302164201,(-rho_scaled + z_fraction_proxy_scaled*(radial_axial_signed_interaction_proxy_scaled - 0.46366469652473385))*(-0.3970751302164201),0.01621680656688695*rho - 0.3130061122934831*(4.12918244017469*radial_axial_signed_interaction_proxy - 0.53093967593681057)*(3.27700476145386*z_fraction_proxy - 1.74794266617586) - 2.767911797685189,"[""radial_axial_signed_interaction_proxy_scaled"", ""rho_scaled"", ""z_fraction_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('radial_axial_signed_interaction_proxy_scaled'), Symbol('z_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('rho_scaled')), Mul(Integer(-1), CONST, Symbol('z_fraction_proxy_scaled'))))","{""features"": [""radial_axial_signed_interaction_proxy_scaled"", ""rho_scaled"", ""z_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",3,1,warm_start_checkpoint,3,1
v10_geometry_residual,v10_i2_geometry_signed_residual_pilot,6,11,0.3405717087177052,0.0307361262251401,((((signed_radial_position_proxy_scaled * signed_axial_position_proxy_scaled) + -0.5480409797062662) * z_fraction_proxy_scaled) - rho_scaled) * -0.365035554021035,(-rho_scaled + z_fraction_proxy_scaled*(signed_axial_position_proxy_scaled*signed_radial_position_proxy_scaled - 0.5480409797062662))*(-0.365035554021035),0.0149082894372384*rho - 0.287749977065416*(3.27700476145386*z_fraction_proxy - 1.74794266617586)*((1.63850238067201*signed_axial_position_proxy - 0.109440285427884)*(2.41221284098931*signed_radial_position_proxy - 0.329487015250199) - 0.5480409797062662) - 2.52849559197277,"[""rho_scaled"", ""signed_axial_position_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""z_fraction_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('rho_scaled')), Mul(Integer(-1), CONST, Symbol('signed_axial_position_proxy_scaled'), Symbol('signed_radial_position_proxy_scaled'), Symbol('z_fraction_proxy_scaled')), Mul(CONST, Symbol('z_fraction_proxy_scaled'))))","{""features"": [""rho_scaled"", ""signed_axial_position_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""z_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",3,1,warm_start_checkpoint,3,1
v10_geometry_residual,v10_i2_geometry_signed_residual_pilot,7,13,0.3389529410969564,0.0023822103926887,(((((signed_radial_position_proxy_scaled * z_fraction_proxy_scaled) + -0.5362079505469696) * z_fraction_proxy_scaled) - rho_scaled) * -0.37257737678954295) + -0.06460340327451598,(-rho_scaled + z_fraction_proxy_scaled*(signed_radial_position_proxy_scaled*z_fraction_proxy_scaled - 0.5362079505469696))*(-0.37257737678954295) - 0.06460340327451598,0.015216302384138386*rho - 0.29369503996343847*(3.27700476145386*z_fraction_proxy - 1.74794266617586)*((2.41221284098931*signed_radial_position_proxy - 0.329487015250199)*(3.27700476145386*z_fraction_proxy - 1.74794266617586) - 0.5362079505469696) - 2.6357775004388828,"[""rho_scaled"", ""signed_radial_position_proxy_scaled"", ""z_fraction_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('rho_scaled')), Mul(Integer(-1), CONST, Symbol('signed_radial_position_proxy_scaled'), Pow(Symbol('z_fraction_proxy_scaled'), Integer(2))), Mul(CONST, Symbol('z_fraction_proxy_scaled')), CONST))","{""features"": [""rho_scaled"", ""signed_radial_position_proxy_scaled"", ""z_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",3,1,warm_start_checkpoint,3,1
v10_geometry_residual,v10_i2_geometry_signed_residual_pilot,8,14,0.3327992198353565,0.0183219162217821,((signed_axial_position_proxy_scaled * (signed_radial_position_proxy_scaled * (signed_axial_position_proxy_scaled - (radial_axial_signed_interaction_proxy_scaled * -0.2904759823569373)))) - rho_scaled) * -0.3977753688521384,(-rho_scaled + signed_axial_position_proxy_scaled*signed_radial_position_proxy_scaled*(-(-0.2904759823569373)*radial_axial_signed_interaction_proxy_scaled + signed_axial_position_proxy_scaled))*(-0.3977753688521384),0.01624540476818935*rho - 0.3135580959267175*(1.63850238067201*signed_axial_position_proxy - 0.109440285427884)*(2.41221284098931*signed_radial_position_proxy - 0.329487015250199)*(1.199428325640757*radial_axial_signed_interaction_proxy + 1.63850238067201*signed_axial_position_proxy - 0.1289820511606501) - 2.773144341219303,"[""radial_axial_signed_interaction_proxy_scaled"", ""rho_scaled"", ""signed_axial_position_proxy_scaled"", ""signed_radial_position_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('radial_axial_signed_interaction_proxy_scaled'), Symbol('signed_axial_position_proxy_scaled'), Symbol('signed_radial_position_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('rho_scaled')), Mul(CONST, Pow(Symbol('signed_axial_position_proxy_scaled'), Integer(2)), Symbol('signed_radial_position_proxy_scaled'))))","{""features"": [""radial_axial_signed_interaction_proxy_scaled"", ""rho_scaled"", ""signed_axial_position_proxy_scaled"", ""signed_radial_position_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",3,1,warm_start_checkpoint,3,1
v10_geometry_residual,v10_i2_geometry_signed_residual_pilot,9,16,0.3324177249551289,0.0005734894834512,((((signed_radial_position_proxy_scaled * signed_axial_position_proxy_scaled) * (signed_axial_position_proxy_scaled - (radial_axial_signed_interaction_proxy_scaled * -0.31526811986783343))) - rho_scaled) * -0.39342863599935063) + 0.03726802564312827,0.03726802564312827 + (-rho_scaled + signed_axial_position_proxy_scaled*signed_radial_position_proxy_scaled*(-(-0.31526811986783343)*radial_axial_signed_interaction_proxy_scaled + signed_axial_position_proxy_scaled))*(-0.39342863599935063),0.016067881371462957*rho - 0.31013165632399565*(1.63850238067201*signed_axial_position_proxy - 0.109440285427884)*(2.41221284098931*signed_radial_position_proxy - 0.329487015250199)*(1.3017995845051459*radial_axial_signed_interaction_proxy + 1.63850238067201*signed_axial_position_proxy - 0.13064994170127698) - 2.7112857020756511,"[""radial_axial_signed_interaction_proxy_scaled"", ""rho_scaled"", ""signed_axial_position_proxy_scaled"", ""signed_radial_position_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('radial_axial_signed_interaction_proxy_scaled'), Symbol('signed_axial_position_proxy_scaled'), Symbol('signed_radial_position_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('rho_scaled')), Mul(CONST, Pow(Symbol('signed_axial_position_proxy_scaled'), Integer(2)), Symbol('signed_radial_position_proxy_scaled')), CONST))","{""features"": [""radial_axial_signed_interaction_proxy_scaled"", ""rho_scaled"", ""signed_axial_position_proxy_scaled"", ""signed_radial_position_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",3,1,warm_start_checkpoint,3,1
