iteration,context_design,case_model,split,n_cases,offset_rmse,log_scale_rmse,mean_scale_relative_error,mean_p95_relative_error,p95_spearman,fit_seconds,selection_score
1,physical_context,RidgeCV,validation,15,0.19477564928642735,0.07150232313214497,0.05069072019019975,0.039132734510250664,0.9714285714285713,0.004229249898344278,0.5749785333929724
1,physical_context,RidgeCV,internal_test,15,0.16431503219941904,0.06485328347226854,0.054279048678177455,0.03476877712540356,0.9714285714285713,0.004229249898344278,0.5749785333929724
1,physical_context,ExtraTrees,validation,15,0.6436053141364315,0.20527215573659244,0.15155159648083255,0.139780408481725,0.7607142857142856,0.24131350009702146,1.747704046271798
1,physical_context,ExtraTrees,internal_test,15,0.22753821345661404,0.05809604624651473,0.0460154342833858,0.03472913283759138,0.8785714285714284,0.24131350009702146,1.747704046271798
1,physical_plus_geometry_context,RidgeCV,validation,15,0.1203608421941441,0.06505158460307035,0.04284878043141048,0.03264108857616271,0.9428571428571427,0.00245916610583663,0.4577838457402926
1,physical_plus_geometry_context,RidgeCV,internal_test,15,0.11409804368381007,0.04854273885217877,0.03338700004242872,0.022517542107777212,0.907142857142857,0.00245916610583663,0.4577838457402926
1,physical_plus_geometry_context,ExtraTrees,validation,15,0.5582041510610746,0.17477492588481977,0.11164618987874207,0.11064440557996089,0.7892857142857141,0.18231341685168445,1.499791578865066
1,physical_plus_geometry_context,ExtraTrees,internal_test,15,0.21232444710202483,0.05655835449349473,0.04430108608168222,0.03442108085750047,0.8571428571428571,0.18231341685168445,1.499791578865066
